object_name,x_coordinates,y_coordinates,z_coordinates,color
Cone,"-0.16143517369772487,0.8540311533721274,1.3094895355002287,0.4743839103961034,0.06490589666708013,0.9857381288437501,1.9437406474963628,1.7146175683279425","-0.01137519957385491,1.6976095029503622,1.30034066479526,-0.1877295763540634,1.8437231137958876,0.8886979172937428,-0.7986839158997758,-0.19130487453285983","-0.7457850668310676,0.461622124732044,0.24752079469067834,1.1032624238395075,-0.17801197289802229,-0.18633988369462262,0.14409664925567167,0.3121301181773557","rgba(59, 3, 83, 0.7)"
Cone,"0.26199165326136153,1.789241010851562,1.9562907765395496,-0.6449139153210003,1.6150418268231577,0.20179818929284665,0.3894324420851325,1.4249665364851083","0.052058625871219455,1.7116097699197468,-0.9912797288875866,-0.8545410610597843,0.4939868751408589,-0.9697980991980302,0.5696506703894846,1.0415349097356277","1.4863462462152595,0.20295715928043112,1.3074316471114908,1.011984258145739,-0.9818710277884981,0.3775605893385503,-0.7799098191836498,1.4759547739987373","rgba(14, 252, 138, 0.7)"
Cube,"-0.5207184026206412,0.34057307658929314,1.6257568960622328,-0.24366802368244556,-0.3164783670275486,-0.764639654295704,-0.6960357603390471,-0.1767523476887315","1.7695248435435529,1.7567615087141446,0.9200709204197199,0.5842402537670224,-0.19118803717638977,0.4247656259929069,-0.20977444550269753,-0.6499467904714037","0.20913215541908814,0.5362633658832519,0.916677331190372,0.9992708630140155,1.273006328008214,1.431450064716369,1.9413662009480688,-0.13485123557150447","rgba(51, 44, 18, 0.7)"
Cone,"0.24884358612127455,-0.6084281776458308,0.9530920036662223,0.2789389371256883,-0.05147057987361414,1.8706918768825909,1.7408833182692383,-0.5257427613836003","-0.40541263143635176,1.661756251814091,-0.3645381522769864,0.11846444009427937,1.671119079710842,1.0781795265427823,-0.8730063426305967,-0.641396960572763","0.3650506554598363,0.34952929408056566,0.4646448303719968,1.2983689797053461,0.7643583472116093,0.19693518055910975,-0.336408431658316,1.1102505521380093","rgba(191, 101, 200, 0.7)"
Cone,"0.985532590940255,-0.6984825046791452,-0.45067040768141065,-0.35192227443060475,-0.6872150811312446,1.7803840668500763,0.7382972733340156,-0.5498402179001242","1.5256919585098325,-0.8268017204929482,-0.6581289611810583,-0.07647699387591933,1.9441993032697251,-0.2277625237941442,-0.8959778680379045,1.7433270618913177","-0.7661142088102618,0.27633900580061654,0.298667054481879,1.3654028014778907,1.9120246837180987,0.6599066495193642,1.1989450657176697,1.481916191210221","rgba(147, 135, 209, 0.7)"
Cube,"0.8027086167690274,0.9865952727649803,0.3334386021696305,1.7320065637185764,-0.28158111249620554,1.7133024719368177,-0.6055821489318198,1.6659536100227896","1.2628172700960785,0.14840395035195408,1.1736579494286312,-0.8520812931814185,1.5973692183194457,1.8456994324548361,0.29226157143298903,1.5381048472310725","1.4025506238424241,1.3570562852311419,-0.6357146351096776,-0.6076159673901333,0.9466295255290917,0.5033678829381105,-0.8931568651276771,-0.5761249598378243","rgba(133, 220, 163, 0.7)"
Cone,"-0.6376880528139351,1.8767172307117281,1.9203142108163354,1.5100386157258563,-0.8315519971628966,1.8412950742991367,1.819140116531723,1.1197863896031972","1.8189945083379673,1.1479048783443653,1.5360370638254124,-0.6705591441371455,0.5124881573417572,1.836068153118961,1.917492199650093,-0.332339451338888","1.9716105214665318,1.1852362776002083,-0.07430864135831328,0.13681102451387472,0.23341816468434562,0.5923124236220936,0.07977692263258307,1.7864928117074959","rgba(81, 13, 72, 0.7)"
Cube,"-0.9193071307675746,1.401596769271983,0.06456205929812331,1.3392963743664676,-0.3323292112602213,-0.5884141141477626,1.1736205199067733,1.4046065260944296","-0.9464783599584362,1.5934459255741427,0.7051288747523399,0.5136727816265863,-0.3967557715929857,-0.37016768004585177,1.9017846045456217,0.6237354307922947","0.46614926294437686,1.743810485319468,1.7904165555553613,-0.07440889516113203,0.9243744733087533,1.0845880926884472,1.255738225697769,1.564534418615764","rgba(155, 97, 56, 0.7)"
Bicycle,"-0.4740441414756753,1.2066939890857293,1.600406078384431,-0.22192603844556846,0.7882726450785724,-0.6319091591164359,1.677136966147152,0.06996127642485361","-0.5568709849809788,0.04264853809193814,0.2435467058384584,1.9360379522625166,-0.9778816396902469,1.4816880350018349,1.6490996437950396,-0.7922268995212597","-0.8281140620082141,0.7963327068073458,1.1556458969912478,1.71209266489012,1.1092409645907488,-0.11739042565589541,-0.5735014749586429,-0.4552753799021856","rgba(220, 17, 36, 0.7)"
Bicycle,"0.27210490827992384,0.20033176853895363,1.090528316545261,1.7498915210941925,-0.6461646816578871,0.951492432178993,-0.23078447139015845,0.016600010371235818","-0.9283283448553608,-0.636419136025372,-0.8651438693031357,0.8021487703241217,-0.14925178548526308,-0.40297701226980676,1.2954394256733752,0.12284530319175291","1.407008877432391,1.1175719213776398,1.871574581214566,1.1881340036512134,1.9992141841245479,0.011533865669000498,1.3253247975678404,1.5505799681796182","rgba(168, 64, 117, 0.7)"
Cone,"1.7471229124761019,1.756116495868758,0.41096919735917714,1.9064788901783465,1.5257453689567009,-0.7736097719169479,-0.752916856926352,1.4271459999130656","1.8256247986964018,0.711914822273612,0.047383949690784855,1.29465635753649,0.7496381592105505,0.11628052250771637,0.7784598560256728,-0.6611067465773302","1.5007302619516145,1.4054086068972835,-0.2730206438766899,0.5234715932479328,1.9326593686000675,1.6798719739123817,0.08984591729770974,0.1449755143626954","rgba(212, 243, 58, 0.7)"
Car,"1.94068325018041,1.4028733388931358,0.164957883461613,0.37825313206408406,-0.2648837437001874,1.2099861218242003,0.8883272252033483,0.9495097443208298","1.5391744407186847,1.466303153018314,-0.7247612181542572,0.5621982858943455,1.8356423067358176,1.5919131498843786,0.5570014991091692,-0.16703585816160915","1.6745776148794644,-0.5543015671802034,0.7678219250199114,0.9471943066724253,-0.38949650566458827,-0.4934175135389699,0.38595433912191535,-0.2771713380552564","rgba(134, 1, 228, 0.7)"
Sphere,"0.7549106688647873,1.039212846561436,1.595411028789278,1.826806511313558,-0.40133378605600456,0.9553417842191423,1.0197676687125732,-0.10516029135139304","0.7167431095669377,-0.4218208420327011,0.08357673415513833,0.10485482053082773,-0.4868103164371178,1.546112896602259,-0.5212072160414005,1.3938036382171108","-0.28836920414045897,-0.4120748084673239,0.1032122653703369,0.5874519270254546,-0.05529932392139503,1.1479415384992446,-0.3035012304705179,0.6153195799234052","rgba(226, 149, 211, 0.7)"
Cube,"1.8862520177284905,-0.9671892107438744,1.4263200163305223,0.5520322835335905,-0.0642133500326445,0.19388427260882501,-0.9619436622849721,1.8807825774536973","0.12711153837868405,-0.3409258301089957,-0.17535264149501162,1.265490993971678,-0.9159690227291315,1.295122697826013,1.6620413420732456,1.3104057594453948","1.690040102793294,1.384715450157139,1.1492853860020755,0.8170381615639666,0.9852681325951729,1.5445390101701797,-0.7071573848322953,-0.860648161703047","rgba(79, 252, 185, 0.7)"
Cone,"0.8233936277464733,1.0954132313739895,-0.526497832867123,-0.7156474455375818,1.6011727474413697,0.8920768330701836,0.5609830744978321,1.4878043258311315","-0.5383461642944763,1.5650949610172287,1.6312156858632192,1.7945281524475343,1.875144449905776,-0.7979631263220369,1.5024233352238872,0.019607045127770117","1.244055560939068,0.05766652321967691,0.9301623336306584,0.19018731031617042,0.6633666565929419,1.32276089622128,-0.5899625728414668,0.633531439220361","rgba(2, 198, 57, 0.7)"
Bicycle,"0.7638518974929454,1.6636755367481237,-0.5454103129432758,1.703574635279582,0.5382871659456283,-0.5148886493734441,1.0491254211119907,1.571578035732018","-0.8737643827929579,0.8765387254390751,0.9504460377271626,-0.05681173006055318,0.8656871388383562,-0.6491356842835024,1.281146869959969,-0.8034530018703633","-0.7199969981733709,1.0400044374617776,-0.12016981490719236,1.0237169565238613,0.6454421876961014,1.7051456144064026,1.1240020547695808,-0.47969397512815193","rgba(192, 209, 6, 0.7)"
Cube,"-0.13291501264881433,-0.7635584853003741,1.6619500796608282,0.7882018458245552,-0.7435436547637782,0.2202208985281766,-0.3803093105160674,1.9727199133777504","1.8060450681923692,0.7986894717845936,1.3701302068665737,1.301074269590854,0.3745999434481173,-0.5227659763675342,1.6692366793583768,1.1536886695826967","1.566506185180239,1.0874310982800326,1.2398096256667497,0.8140007260353272,0.3237670445154528,0.8773850407698061,1.3546300259129538,0.5566376415148966","rgba(17, 4, 88, 0.7)"
Sphere,"-0.42384759851308784,1.5181255396105566,-0.4243171311541004,1.8898248872484258,-0.5325244899421907,1.5200604392626982,-0.25647924090819707,-0.6512124697865501","0.19863178356851763,0.4220271471178445,1.6240459741979048,0.2118270641842317,-0.3120315218926586,0.9173726854213571,0.9653902172738442,-0.7436986377612275","0.9484643337379532,1.4916630414546854,-0.5990663036702737,0.5560189115629781,-0.4323944304674967,-0.05689203448345459,-0.016642058806616178,-0.10355665259261226","rgba(15, 204, 213, 0.7)"
Car,"1.4618504067800737,1.770192501333847,1.6594041187144497,1.3983407702891806,-0.6688639039190593,1.0298344173823968,-0.8097949889415671,-0.30531455167120525","1.215934034159809,1.9465728202198815,-0.7234849883053585,-0.712086986733554,0.8639866588364562,0.5103527546490301,-0.0819783070625335,-0.5922148561569879","-0.42915923682431334,-0.5830929925021983,-0.3077524187746852,1.8301906500636465,-0.41832076643656046,1.0549943716341108,0.6421115467502259,-0.7397297538288131","rgba(91, 178, 204, 0.7)"
Cone,"0.855934970374868,-0.8629542967431887,1.3900090920885955,0.25422031309129545,1.632695446821077,0.48598562156213254,1.789001596338951,1.7816512437267527","-0.6070767580998698,0.3157244546568352,0.053717543042872906,1.5015531249104535,-0.9207291452787262,0.18010772255686058,1.3474376751966726,-0.07693565977871664","1.801525815525057,-0.8795571544583587,1.9597151759171,0.9629164982596168,1.462864093962152,0.05783564775301886,0.5981772294997816,0.05716428649643923","rgba(32, 80, 79, 0.7)"
Car,"-0.8734868222428764,1.0935643152826593,0.4031245443756708,1.0392928506954564,1.3741762309929313,0.4115813264579671,1.6412364342950028,0.8424107232517732","1.4959923896237561,1.0316844256648308,0.9224609077273092,-0.1856910257694644,-0.04084750273033566,0.6806904640433573,0.7712395097622982,0.3971913319396465","0.19821911302508988,0.9429541722529544,1.9416906963063694,1.6542918636647577,0.8296081095330292,1.2018796958242217,0.5750972548651192,1.3327164201693984","rgba(29, 125, 140, 0.7)"
Car,"-0.5734350597388971,0.3185056739633607,0.6088902250793296,0.2933347757474367,-0.4310523064758024,1.375590891891017,1.4873654071124984,-0.5066864135343901","0.004049089760433944,1.4150189958859483,0.5789366600693797,0.8250095257663059,0.8200707527135207,-0.09943588196445763,1.0716243384880957,-0.8929524719178592","0.6354898550346699,-0.5541029339786405,0.6495135757488311,1.674051735826703,0.06318211882217817,1.7609568728055498,-0.24579235819360212,1.9815595901037426","rgba(155, 42, 224, 0.7)"
Car,"0.6214359380991972,1.5164588774007393,-0.47237860001021326,1.3084377758828718,0.702809511922492,0.7617220559543592,1.7964517114864353,0.7123308121005056","0.6572632815682811,-0.6626478146676208,1.449466777695097,0.09914793685965773,1.6707261604933148,-0.5360889416642267,0.8188618240105892,0.13787681125338502","0.9623326701660404,-0.11133593464226543,1.0145488106292162,0.6198849249169434,1.224007065982034,1.6048848357452754,-0.38582822374019665,0.9975348295075372","rgba(57, 50, 151, 0.7)"
Cube,"1.0354415429563035,1.3593287040257507,1.648969481107601,-0.04358322067414533,1.9270980945375404,-0.9412108184965657,-0.9918572783629429,1.922576801381012","-0.8831225799157127,0.8124205697923976,-0.8842526259522078,-0.8204043597049149,-0.8708396654572407,0.22981717700838078,1.5619639907818987,-0.6934092475622877","-0.18285050452773566,0.6497417031285861,1.8326868654552202,1.45042905297589,-0.6093034357144986,-0.23424539027114777,0.9432017798443839,-0.1431179792870393","rgba(224, 68, 163, 0.7)"
Cube,"1.4732853249980593,-0.09183236270562711,0.7523466453441396,0.0933288023507266,-0.6798815393421795,-0.9596901017861426,0.9968216506535719,1.0634526681499556","1.9359054008631973,0.11238491985015386,-0.8604170435128721,-0.3322304436918301,1.4445338624944282,0.25610996431922795,-0.8765292489227094,0.8475033516941641","-0.8727400508817924,-0.8534287772022936,0.28669707324592997,1.8784397625738527,-0.5885458910582275,1.4044078166769034,-0.8852798513385653,1.6434217750515634","rgba(94, 186, 236, 0.7)"
Cone,"-0.43143316768500284,-0.2772891371171774,0.1832906208476348,0.6087554580596857,1.2924467491652978,1.1157492317304407,0.11122764775583294,1.7223050005659122","1.4004912132277143,1.9115534731970398,0.7271131967257098,1.1842177609694335,-0.020360296700459912,1.036274330161132,1.5334300571221444,0.5913738372970134","-0.9194645648456011,0.27126546083457725,-0.8816614546880621,0.8939197772921432,1.3185034867071437,-0.010909656056085404,1.480654692930882,1.2390625603953849","rgba(15, 209, 100, 0.7)"
Sphere,"0.29923053159877,1.2602903738841844,-0.002831516905880016,1.0661407995602565,1.758745247360645,-0.698604641214049,0.7122109467569944,-0.8979491144285537","-0.3962362621718205,-0.2860548634426936,-0.827166089867986,-0.2115615232928998,1.974038581530218,1.8391594314367197,0.16856993797846642,-0.23276870100239888","-0.4785093414877275,1.7404633449948799,1.554961986444714,0.0323620482184368,-0.6548248602348524,0.9597232164216472,-0.45332538922818744,0.3605982674593937","rgba(155, 192, 151, 0.7)"
Cube,"1.2963409994373771,0.72337764612347,1.2058201252723282,0.8782664812069281,0.11228463741521177,0.17691484290281445,1.4915978582001062,1.440119608147557","0.7054925119352466,1.3624721562349604,-0.3750560849199268,1.4337379171326985,1.5910762682008004,0.6921709543627228,0.25593857146324517,-0.5350117857542385","1.9572154308582812,0.8159104583930008,1.654088638976992,-0.285534584006485,-0.5478523932893046,-0.716535631534749,0.5570724147224495,1.907203873397572","rgba(133, 34, 244, 0.7)"
Cone,"1.917302720602827,-0.02521978337547226,-0.24450957982891142,-0.8987503721566054,1.173590192112326,0.6992829291856175,1.8458229864526792,0.9762167726052304","1.3403646750005351,1.1855629721287837,0.9590612329670509,1.3867893264487767,-0.289973704921509,1.0768812740827012,0.0936794607315643,1.2291773326393272","-0.03914886226022285,1.8736082920369284,0.75225384483638,-0.13644210166679838,-0.29376606051504406,0.47754090692354145,-0.09980316468998829,0.7371352936361482","rgba(42, 112, 231, 0.7)"
Cone,"0.21141675557654382,1.7615824406501743,0.31436563745817603,1.322933581566887,0.8942961082018654,0.8625536177181243,1.8232426045205083,-0.1547103249649242","-0.8307968523402202,1.6292988947756508,-0.16848658440642927,1.2379900645720365,-0.554003389734414,0.6554539163620545,0.4977640140810402,-0.9135619995445619","0.3560816040206163,-0.4108948790426721,-0.2471431968642579,0.11019820373331957,0.9791100382058218,1.6120687935501499,1.1138977208117722,-0.7614313559589153","rgba(171, 250, 209, 0.7)"
Cone,"-0.7182592604700029,0.41857991052509935,1.974956872434669,1.3049288357061761,1.9070557271136623,-0.08311310864707788,-0.36971694002312505,-0.7320496839890022","0.04048386575412577,0.30182117888808957,1.9113806390351646,-0.18767376068012898,-0.4398572274536693,-0.5689861470221823,0.35500470697958164,-0.9584892544514773","-0.7866728453118871,0.4418136628252154,0.8092785836097072,0.705623106057673,-0.2795013595592326,1.9080737031275437,-0.9138372438017948,-0.9119592719878555","rgba(109, 83, 187, 0.7)"
Cone,"-0.5517673607860905,0.5889027295120632,-0.5440397660322417,-0.597453216572967,1.0467907057349706,1.2350766637726656,1.9005279052860886,1.6931636329881021","0.5885405708966962,-0.18088907559166967,0.8807215220839306,0.8644466590034958,-0.6908286200245134,1.705396346226296,1.5913903158639493,1.4715038437529557","1.1098681379924362,1.842561327558184,1.1446771571617909,1.2874358017818852,1.3128997262104116,0.27289859152862017,-0.5779334047497575,-0.5126174995842551","rgba(223, 53, 170, 0.7)"
Car,"-0.9654726147162561,-0.9423669384279713,-0.6059735338868064,0.5040284305829601,-0.04787320465938627,0.11178982755201283,0.6126312428110987,0.8303940111034069","0.49019141253136844,1.831246892840353,-0.6503987111378948,1.0094936243248203,1.9321558949220576,0.6829829724304997,-0.5821995648859836,0.3704322470563759","-0.38537804122796404,1.3970684748717872,1.9993175437726336,0.727075054479664,1.953235505520929,0.47858311564421285,0.08315810954132852,0.09677102185678965","rgba(213, 14, 130, 0.7)"
Cube,"1.4440333046853935,1.5419040518641447,0.5793253412681458,1.771291579596634,0.7989034592849271,-0.8108302692626093,0.49042796705719205,0.1963792403331488","0.20174661870490063,0.20707750755318965,1.804637188083214,1.7299405576670899,1.1218258947779574,0.2987534428628047,0.19257049677167482,-0.7621722495704589","1.5968446276090944,0.08520728654898724,-0.5661320650107781,-0.7705825498421539,-0.6326947964155079,1.9599263777455977,-0.2311325478656321,-0.11111278694380011","rgba(34, 201, 223, 0.7)"
Cube,"-0.04804222593831686,-0.9225365325148535,0.1965337730849117,1.4487226936541404,0.753845318507484,1.1324439789877996,0.6456563746120711,-0.5834496836257328","1.4780000191936762,-0.5018170722068874,1.3078074642795108,1.7487445057972417,-0.6197461008711381,1.8316775721046992,0.8502676713699138,-0.28437918972718856","1.3016543391715731,0.034188125670929326,-0.9748493143946473,0.10356974250181983,-0.30423409203385365,1.7289841637184589,0.7334449517906259,0.6683982060030456","rgba(116, 80, 128, 0.7)"
Sphere,"-0.31185730764462727,0.09155067747595824,0.6806221497561888,-0.9862216154598502,1.4803380891132862,0.10042944839260493,-0.46387572383628783,0.47205803615114994","1.121243596326753,0.9127106059942216,0.41220065007955986,0.9077165441033848,0.7415375524565175,-0.25504067535544195,1.6219406147718312,1.0854191644014897","1.9009207453731771,1.8867550412479188,0.6035716005728213,0.09724000670650179,-0.7034505544468128,-0.5366715864070756,-0.1652616695132071,0.7928687953707882","rgba(49, 49, 78, 0.7)"
Car,"1.739300309475817,1.6857726199866638,1.4942445741721975,-0.8175705915347238,-0.914322782377438,-0.4094027022397144,0.001664267135312869,-0.9555988178621829","1.2744569858216188,-0.48190891053852614,0.0335257819266821,0.5397457821765217,1.630735452221031,1.7063582105538933,1.3991106504997068,0.5160379054373658","1.3401204094830979,1.023426413741749,0.5541611658390417,1.124083020063316,1.8639771168467782,-0.33281282694326375,-0.6960988815858689,0.848316998290281","rgba(90, 167, 217, 0.7)"
Cube,"-0.025429029465837583,1.3523255406462562,-0.5365504916560353,-0.07438520482478672,0.04053078547547262,0.9262443860026164,-0.7634951938904284,1.001699174648051","1.9802694988495855,0.4715895111969961,0.45064419994522664,-0.7426322680658877,1.444094963467419,0.9177728509230154,-0.10440321398298313,0.14512315267192277","0.4222913425873618,0.40323975738669526,-0.03758585744824405,-0.7917274894202627,0.33421227135510234,0.10862092873646656,0.8241525438018977,0.7115817534170108","rgba(7, 159, 11, 0.7)"
Cube,"-0.6507361726396238,0.13161148472752338,0.7266080478158683,-0.1846129199662444,-0.5643471797629851,-0.1840945070068366,-0.9800813588701058,0.5305044066334976","-0.6002147216137371,0.5788475288362034,0.3110781180827773,0.7534885204076529,0.6478917153900796,-0.18313226837369145,-0.9466287748777428,0.22074675545332","1.8760783955533809,0.23137356685726895,1.3493991557484182,-0.04543934230658209,0.11120166664256326,-0.5048132023250221,1.5944785921842533,1.882404355207524","rgba(67, 231, 83, 0.7)"
Cube,"-0.12833538878567763,0.8848261160249744,1.095243919845362,-0.572680113780516,-0.7167380941794854,0.5867503270545089,-0.9250140806560201,1.6389719481072778","-0.5177543345715792,-0.6426966683959544,0.26027341510601354,1.0042573740594136,-0.4902367960386965,-0.8498722715118916,1.5703499307620064,0.9103306072031785","1.7641143722104227,0.7727548732116247,0.4502673618194306,-0.03779462876269979,0.8638220071329017,0.8979395100503116,1.4465894197816365,-0.43328270891764686","rgba(1, 68, 85, 0.7)"
Cone,"0.07642317272002486,-0.04759219475018717,-0.4117115907644008,-0.32084069795034464,0.43845075389396304,0.021068529449858264,-0.32167959156488324,1.017695420672767","-0.18599116489610623,1.8499951305748175,0.43007666390338617,-0.9221082124018688,1.8344794360179906,1.7562290187072591,1.1284190368761804,-0.6605253369127926","0.954978672171535,0.8958889528167,-0.7907715340498477,1.5010873529584918,0.6770109923515695,-0.040376425422483986,0.05302871325129188,-0.0031854590861302157","rgba(179, 212, 92, 0.7)"
Car,"-0.23726328242104278,1.8145048088295042,-0.8508726541659796,0.6559846629825241,0.06785808000832017,-0.9176882665677013,0.1413066955238862,-0.6406549005849794","1.0223491538910694,0.31094452762127767,-0.7343348391820376,0.7527942295943642,-0.11880464616748954,-0.27139746639056805,0.1922913817027314,1.7422131808070795","0.286097731040899,1.6290978949400716,0.5982320383801585,0.9666461204178098,-0.9108036953601327,0.04688072637813212,1.4203204386409816,-0.7845209728974545","rgba(233, 208, 250, 0.7)"
Car,"-0.11460903891916974,0.9438306954829911,0.9095183423494437,0.06241359806929436,0.16103392066503552,-0.6066829840734153,1.150719529383375,1.5970908287488896","0.2486425958132399,0.9551814096497919,1.3704248864968225,-0.010646705683510116,1.2776309563687342,-0.660004580981857,1.3405874220468053,0.11172092819305868","0.2482150354445043,1.707698949419716,1.3303261377432385,0.7408383778706007,1.1162642374768281,1.1738865946993364,1.0579777164340407,-0.23813127286349478","rgba(124, 201, 7, 0.7)"
Cone,"-0.9750031864384958,0.6584380649124393,1.3510676119917862,0.970673782104694,1.3312262679728462,-0.07576018259935724,-0.31651004281906436,0.08712942534229384","0.5444127930146534,-0.8980080147649483,0.8490684192714544,-0.5480713714691375,0.5446010410391839,-0.8339973314553913,0.9414351513782042,-0.8918646183018473","0.7225770844580475,1.0707766626475466,1.7804635413514664,0.7964496173996822,1.4509893391703086,1.9868043326098768,-0.004309169202392438,-0.01046925987050018","rgba(175, 44, 107, 0.7)"
Sphere,"1.850578758346702,-0.9390198601815677,0.4726450456315112,-0.18347625292377656,-0.6254919165261493,-0.16475794144892886,0.8713638596192985,0.6696095403552769","-0.1115444591362924,0.5980117386739547,1.3022750753716448,-0.992024836822265,0.4739220655501768,-0.504008104119195,0.9928254283801503,1.2981770823792633","-0.6589665172963046,1.4121432377631464,1.8143803189662933,0.8684961115346428,0.41525587749246573,1.4542496231344613,-0.011624231699342014,1.62254933037207","rgba(22, 9, 57, 0.7)"
Bicycle,"0.4934903887686979,1.4555592920189389,0.3401180086118458,0.14882043239726261,0.5513866345319687,0.15188594675146017,-0.12205330866417174,0.07593917529809069","1.478714379591211,-0.4700772653617058,1.2457479836504217,1.4307632088781919,-0.7982784422962281,-0.46709246320179953,-0.2410048776890883,0.9719692855070143","1.8666629469236704,-0.06321657116404589,0.46156070305192,0.8278484764681182,1.6919196713829407,1.1774734418222659,-0.37182045582910916,0.12444498805645532","rgba(2, 78, 89, 0.7)"
